function,num_times,n_elements,sizeof,max_mbytes_per_sec,min_runtime,max_runtime,avg_runtime
Copy,100,67108864,4,378945.41427286266,0.0014167499903123826,0.0016787083295639604,0.0014264874998480082
Mul,100,67108864,4,379012.2953711421,0.0014164999884087592,0.001670500001637265,0.0014326962491031736
Add,100,67108864,4,379324.71437122166,0.002122999998391606,0.0024652916617924348,0.002168846666900208
Triad,100,67108864,4,379302.3812771473,0.0021231249993434176,0.0021969999943394214,0.0021430174991837704
Dot,100,67108864,4,139510.4041341268,0.0038482499949168414,0.004138249991228804,0.0039737645820423495
