function,num_times,n_elements,sizeof,max_mbytes_per_sec,min_runtime,max_runtime,avg_runtime
Copy,100,33554432,4,75018.6,0.00357825,0.00438383,0.00372987
Mul,100,33554432,4,74773.1,0.00359,0.00423633,0.00373548
Add,100,33554432,4,83375.8,0.00482938,0.00541138,0.00487986
Triad,100,33554432,4,83082,0.00484646,0.00531979,0.00489025
Dot,100,33554432,4,8598.23,0.0312198,0.0320518,0.031366
