function,num_times,n_elements,sizeof,max_mbytes_per_sec,min_runtime,max_runtime,avg_runtime
Copy,100,33554432,4,129823,0.00206771,0.00213425,0.00209957
Mul,100,33554432,4,131484,0.00204158,0.00211758,0.00207706
Add,100,33554432,4,150220,0.00268042,0.00274296,0.00269294
Triad,100,33554432,4,150008,0.00268421,0.00275425,0.00269509
Dot,100,33554432,4,64608,0.00415483,0.00563196,0.00418124
