N       GFLOP/s     mean(rt)    min(rt)     max(rt)     
64      73.584      0.00001     0.00001     0.00001     
128     61.231      0.00042     0.00007     0.00163     
256     170.760     0.00157     0.00020     0.00604     
512     223.316     0.00261     0.00120     0.00600     
1024    249.086     0.01039     0.00862     0.01538     
2048    281.610     0.07172     0.06101     0.09362     
4096    404.885     0.36075     0.33945     0.40239     
8192    401.037     2.92441     2.74167     3.09926     
