N       GFLOP/s     mean(rt)    min(rt)     max(rt)     
64      2.807       0.00020     0.00019     0.00022     
128     19.501      0.00027     0.00022     0.00033     
256     97.471      0.00038     0.00034     0.00041     
512     365.757     0.00094     0.00073     0.00100     
1024    1119.332    0.00234     0.00192     0.00465     
2048    1636.308    0.01090     0.01050     0.01141     
4096    1488.889    0.09571     0.09231     0.09950     
8192    1499.148    0.75357     0.73342     0.76966     
