N       GFLOP/s     mean(rt)    min(rt)     max(rt)     
64      54.945      0.00002     0.00001     0.00005     
128     58.356      0.00037     0.00007     0.00183     
256     130.711     0.00073     0.00026     0.00247     
512     211.131     0.00187     0.00127     0.00487     
1024    215.687     0.01075     0.00996     0.01419     
2048    229.041     0.09055     0.07501     0.17844     
4096    289.362     0.49656     0.47497     0.52289     
8192    300.696     3.71271     3.65655     3.81228     
