N       GFLOP/s     mean(rt)    min(rt)     max(rt)     
64      662.817     0.00000     0.00000     0.00000     
128     1006.794    0.00000     0.00000     0.00001     
256     1262.252    0.00003     0.00003     0.00003     
512     1332.741    0.00020     0.00020     0.00020     
1024    1271.923    0.00175     0.00169     0.00203     
2048    900.619     0.01987     0.01908     0.02156     
4096    896.908     0.15645     0.15324     0.15866     
8192    911.449     1.21629     1.20633     1.27720     
