function,num_times,n_elements,sizeof,max_mbytes_per_sec,min_runtime,max_runtime,avg_runtime
Copy,100,33554432,4,53094.7,0.00505579,0.00610142,0.00572948
Mul,100,33554432,4,50272,0.00533967,0.006307,0.00580901
Add,100,33554432,4,48858,0.00824129,0.00895471,0.00854864
Triad,100,33554432,4,48771.2,0.00825596,0.00946167,0.00858728
Dot,100,33554432,4,48539.8,0.00553021,0.00947554,0.0066624
