function,num_times,n_elements,sizeof,max_mbytes_per_sec,min_runtime,max_runtime,avg_runtime
Copy,100,33554432,4,60103.1,0.00446625,0.00622858,0.00464381
Mul,100,33554432,4,59644.6,0.00450058,0.00570837,0.00469586
Add,100,33554432,4,57229.6,0.00703575,0.00829379,0.00725438
Triad,100,33554432,4,57281.5,0.00702938,0.00954704,0.00726967
Dot,100,33554432,4,8533.18,0.0314578,0.0353915,0.032185
