N       GFLOP/s     mean(rt)    min(rt)     max(rt)     
64      26.325      0.00002     0.00002     0.00002     
128     17.735      0.00036     0.00024     0.00069     
256     97.507      0.00049     0.00034     0.00168     
512     216.197     0.00203     0.00124     0.00437     
1024    275.923     0.01171     0.00778     0.02548     
2048    395.824     0.05116     0.04340     0.06222     
4096    575.606     0.24806     0.23877     0.26943     
8192    642.320     1.82620     1.71178     2.24810     
