N       GFLOP/s     mean(rt)    min(rt)     max(rt)     
64      32.430      0.00002     0.00002     0.00003     
128     34.568      0.00014     0.00012     0.00016     
256     217.769     0.00094     0.00015     0.00217     
512     276.204     0.00153     0.00097     0.00338     
1024    269.079     0.01226     0.00798     0.03189     
2048    309.793     0.06521     0.05546     0.08257     
4096    396.347     0.38376     0.34676     0.53286     
8192    489.564     2.28954     2.24590     2.33068     
