N       GFLOP/s     mean(rt)    min(rt)     max(rt)     
64      1.911       0.00029     0.00027     0.00034     
128     13.087      0.00034     0.00032     0.00039     
256     91.305      0.00038     0.00037     0.00041     
512     552.432     0.00052     0.00049     0.00059     
1024    1666.060    0.00142     0.00129     0.00160     
2048    7204.686    0.00262     0.00238     0.00424     
4096    8004.035    0.01728     0.01717     0.01741     
8192    7873.312    0.14032     0.13965     0.14137     
