function,num_times,n_elements,sizeof,max_mbytes_per_sec,min_runtime,max_runtime,avg_runtime
Copy,100,67108864,4,61357.55214313275,0.00874987500719726,0.009426875010831282,0.008879976666648873
Mul,100,67108864,4,61387.66185291763,0.00874558332725428,0.009327500010840595,0.008880470417207107
Add,100,67108864,4,61634.32354824948,0.01306587501312606,0.013853916665539145,0.013273702500737273
Triad,100,67108864,4,61673.265181825394,0.01305762497941032,0.015407250000862405,0.013284134586283471
Dot,100,67108864,4,37179.31873448339,0.014440041675698012,0.015219583350699395,0.014756329585507046
