function,num_times,n_elements,sizeof,max_mbytes_per_sec,min_runtime,max_runtime,avg_runtime
Copy,100,33554432,4,60145.7,0.00446308,0.00580904,0.00460819
Mul,100,33554432,4,59432.2,0.00451667,0.00653804,0.00468316
Add,100,33554432,4,57178.8,0.007042,0.00966504,0.00727457
Triad,100,33554432,4,57063,0.00705629,0.00957692,0.00729917
Dot,100,33554432,4,31551.4,0.00850787,0.0102305,0.00871816
